Algorithm: bjps, Bound: 45, Weight: 3.0, Cost: 101.8, Time: 0.02, Success Rate: 1.0
Algorithm: bjps, Bound: 45, Weight: 4.0, Cost: 101.8, Time: 0.02, Success Rate: 1.0
Algorithm: bjps, Bound: 45, Weight: 5.0, Cost: 101.8, Time: 0.02, Success Rate: 1.0
Algorithm: bjps, Bound: 45, Weight: 10.0, Cost: 101.8, Time: 0.02, Success Rate: 1.0
Algorithm: bjps, Bound: 50, Weight: 0.1, Cost: 101.8, Time: 0.03, Success Rate: 1.0
Algorithm: bjps, Bound: 50, Weight: 1.0, Cost: 101.8, Time: 0.03, Success Rate: 1.0
Algorithm: bjps, Bound: 50, Weight: 2.0, Cost: 101.8, Time: 0.02, Success Rate: 1.0
Algorithm: bjps, Bound: 50, Weight: 3.0, Cost: 101.8, Time: 0.02, Success Rate: 1.0
Algorithm: bjps, Bound: 50, Weight: 4.0, Cost: 101.8, Time: 0.02, Success Rate: 1.0
Algorithm: bjps, Bound: 50, Weight: 5.0, Cost: 101.8, Time: 0.02, Success Rate: 1.0
Algorithm: bjps, Bound: 50, Weight: 10.0, Cost: 101.8, Time: 0.02, Success Rate: 1.0
Algorithm: bjps, Bound: 55, Weight: 0.1, Cost: 101.8, Time: 0.03, Success Rate: 1.0
Algorithm: bjps, Bound: 55, Weight: 1.0, Cost: 101.8, Time: 0.03, Success Rate: 1.0
Algorithm: bjps, Bound: 55, Weight: 2.0, Cost: 101.8, Time: 0.02, Success Rate: 1.0
Algorithm: bjps, Bound: 55, Weight: 3.0, Cost: 101.8, Time: 0.02, Success Rate: 1.0
Algorithm: bjps, Bound: 55, Weight: 4.0, Cost: 101.8, Time: 0.02, Success Rate: 1.0
Algorithm: bjps, Bound: 55, Weight: 5.0, Cost: 101.8, Time: 0.02, Success Rate: 1.0
Algorithm: bjps, Bound: 55, Weight: 10.0, Cost: 101.8, Time: 0.02, Success Rate: 1.0
Algorithm: bjps, Bound: 60, Weight: 0.1, Cost: 101.8, Time: 0.03, Success Rate: 1.0
Algorithm: bjps, Bound: 60, Weight: 1.0, Cost: 101.8, Time: 0.03, Success Rate: 1.0
Algorithm: bjps, Bound: 60, Weight: 2.0, Cost: 101.8, Time: 0.02, Success Rate: 1.0
